C Mapping (NEW 2023),Categories (within the HOMER Curriculum),Majors,Minors,Topics,Skills (Scope and Sequence),US Start Age,US End Age,Temp Skill Code,Number,Standards (if relevant),"Tangible Candidate (i.e., skill well supported through physical products and/or learning with manipulatives)",Currently covered via tangible,Non-HOMER products/experiences,China start,China end,Partner products,Total Manuscripts,,FINAL SkillCode,,,,,,,,
Core,Knowledge,Math,Geometry,Identifying Shapes,"Finds hidden shapes that are overlapping, but not embedded",48,60,KMGeo1,1,CCSSM0021 (EXAMPLE),x,,,,,,#VALUE!,,KNO-Mat-geo-1,,,Three letter- CAP- MAJOR- MINOR- NUMBER SKILL,,,,,
Core,Knowledge,Math,Geometry,Identifying Shapes,Finds hidden shapes that are embedded ,60,72,KMGeo2,2,,,,,,,,,,KNO-Mat-geo-2,,,,,,,,
Core,Knowledge,Math,Geometry,Shapes and properties of shapes,"Recognizes and names some variations of circle, square, triangle, rectangle, typically in canonical form",36,66,KMGeo3,3,,x,,,,,,,,KNO-Mat-geo-3,,,owen to put it into a script to create new codes,,,,,
Core,Knowledges,Math,Geometry,Shapes and properties of shapes,"Uses common, informal names to identify popular 3D shapes (ball, box, can)",42,60,KMGeo4,4,,x,,,,,,,,KNO-Mat-geo-4,,,,,,,,
Core,Knowledge,Math,Geometry,Shapes and properties of shapes,"Recognizes and names any circle, square, triangle, rectangle, including non-cannonical (different size and shape) ",48,66,KMGeo5,5,,x,,,,,,,,KNO-Mat-geo-5,,,,,,,,
Core,Knowledge,Math,Geometry,Shapes and properties of shapes,"Recognizes and names some variations of other shapes, such as hexagon, rhombus, etc. ",54,72,KMGeo6,6,,x,,,,,,,,KNO-Mat-geo-6,,,,,,,,
Core,Knowledge,Math,Geometry,Shapes and properties of shapes,Uses a shapes properties to classify 2D shapes (number of sides),60,78,KMGeo7,7,,x,,,,,,,,KNO-Mat-geo-7,,,,,,,,
Core,Knowledge,Math,Geometry,Shapes and properties of shapes,Understands the term 'congruent',60,84,KMGeo8,8,,,,,,,,,,KNO-Mat-geo-8,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,"Informally sorts and builds with with solids, identifying similarities and differences (e.g., same type of block)",18,30,KMGeo9,9,,x,,,,,,,,KNO-Mat-geo-9,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,"Informally sorts by a property (e.g., stacking by size)",18,36,KMGeo10,10,,x,,,,,,,,KNO-Mat-geo-10,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,"Matches shapes, first with same size and orientation, then with different sizes and orientation (e.g., matches simple shapes in form boards and puzzles; sorts simple shapes in a sorter box).",24,48,KMGeo11,11,,x,,,,,,,,KNO-Mat-geo-11,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,Uses shapes to make a picture (but does not combine them) ,24,42,KMGeo12,12,,x,,,,,,,,KNO-Mat-geo-12,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,"Combines shapes to create (e.g., stacks three circles to make a snowman) ",36,60,KMGeo13,13,,x,,,,,,,,KNO-Mat-geo-13,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,Manipulates shapes to compare or match them (superimpose) ,42,60,KMGeo14,14,,x,,,,,,,,KNO-Mat-geo-14,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,Rotates shapes to compare or match them,42,60,KMGeo15,15,,x,,,,,,,,KNO-Mat-geo-15,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,"Deconstructs objects into shapes (e.g, can point out the triangle and square in a simple drawing of a house) ",42,66,KMGeo16,16,,x,,,,,,,,KNO-Mat-geo-16,,,,,,,,
