Collaboration,Communication,Content,CriticalThinking,CreativityCuriosity,Confidence,Literacy,Math,TotalStrength,Profile Family
E,E,E,E,E,E,E,E,0,E
E,E,E,E,E,E,E,D,0,E
E,E,E,E,E,E,E,S,1,C
E,E,E,E,E,E,D,E,0,E
E,E,E,E,E,E,D,D,0,E
E,E,E,E,E,E,D,S,1,C
E,E,E,E,E,E,S,E,1,E
E,E,E,E,E,E,S,D,1,E
E,E,E,E,E,E,S,S,2,C
E,E,E,E,E,D,E,E,0,E
E,E,E,E,E,D,E,D,0,E
E,E,E,E,E,D,E,S,1,C
E,E,E,E,E,D,D,E,0,E
E,E,E,E,E,D,D,D,0,E
E,E,E,E,E,D,D,S,1,C
E,E,E,E,E,D,S,E,1,E
E,E,E,E,E,D,S,D,1,E
E,E,E,E,E,D,S,S,2,C
E,E,E,E,E,S,E,E,1,D
E,E,E,E,E,S,E,D,1,D
E,E,E,E,E,S,E,S,2,C
E,E,E,E,E,S,D,E,1,D
E,E,E,E,E,S,D,D,1,D
E,E,E,E,E,S,D,S,2,C
E,E,E,E,E,S,S,E,2,D
E,E,E,E,E,S,S,D,2,D
E,E,E,E,E,S,S,S,3,C
E,E,E,E,D,E,E,E,0,E
E,E,E,E,D,E,E,D,0,E
E,E,E,E,D,E,E,S,1,C
E,E,E,E,D,E,D,E,0,E
E,E,E,E,D,E,D,D,0,E
E,E,E,E,D,E,D,S,1,C
E,E,E,E,D,E,S,E,1,E
E,E,E,E,D,E,S,D,1,E
E,E,E,E,D,E,S,S,2,C
E,E,E,E,D,D,E,E,0,E
E,E,E,E,D,D,E,D,0,E
E,E,E,E,D,D,E,S,1,C
E,E,E,E,D,D,D,E,0,E
E,E,E,E,D,D,D,D,0,E
E,E,E,E,D,D,D,S,1,C
E,E,E,E,D,D,S,E,1,E
E,E,E,E,D,D,S,D,1,E
E,E,E,E,D,D,S,S,2,C
E,E,E,E,D,S,E,E,1,D
E,E,E,E,D,S,E,D,1,D
E,E,E,E,D,S,E,S,2,C
E,E,E,E,D,S,D,E,1,D
E,E,E,E,D,S,D,D,1,D
E,E,E,E,D,S,D,S,2,C
E,E,E,E,D,S,S,E,2,D
E,E,E,E,D,S,S,D,2,D
E,E,E,E,D,S,S,S,3,C
E,E,E,E,S,E,E,E,1,E
E,E,E,E,S,E,E,D,1,E
E,E,E,E,S,E,E,S,2,C
E,E,E,E,S,E,D,E,1,E
E,E,E,E,S,E,D,D,1,E
E,E,E,E,S,E,D,S,2,C
E,E,E,E,S,E,S,E,2,B
E,E,E,E,S,E,S,D,2,B
E,E,E,E,S,E,S,S,3,C
E,E,E,E,S,D,E,E,1,E
E,E,E,E,S,D,E,D,1,E
E,E,E,E,S,D,E,S,2,C
E,E,E,E,S,D,D,E,1,E
E,E,E,E,S,D,D,D,1,E
E,E,E,E,S,D,D,S,2,C
E,E,E,E,S,D,S,E,2,B
E,E,E,E,S,D,S,D,2,B
E,E,E,E,S,D,S,S,3,C
E,E,E,E,S,S,E,E,2,D
E,E,E,E,S,S,E,D,2,D
E,E,E,E,S,S,E,S,3,C
E,E,E,E,S,S,D,E,2,D
E,E,E,E,S,S,D,D,2,D
E,E,E,E,S,S,D,S,3,C
E,E,E,E,S,S,S,E,3,B
E,E,E,E,S,S,S,D,3,B
E,E,E,E,S,S,S,S,4,A
E,E,E,D,E,E,E,E,0,E
E,E,E,D,E,E,E,D,0,E
E,E,E,D,E,E,E,S,1,C
